name,affiliation
Benjamin Tannert,City University of Applied Sciences Bremen
Matthew Louis Mauriello,University of Delaware
Gözel Shakeri,Carl von Ossietzky University of Oldenburg
Jonah-Noël Kaiser,Carl von Ossietzky University of Oldenburg
Thu Marianski,Carl von Ossietzky University of Oldenburg
Sven Mayer,LMU Munich
Fiona Draxler,LMU Munich
Julian Frommel,Utrecht University
Thomas Kosch,Utrecht University
Alexander G. Mirnig,University of Salzburg
Diego Muñoz,Swinburne University of Technology
Raphael Wimmer,University of Regensburg
Frank Bentley,Google
Abiodun Ogunyemi,Tallinn University
Eunice Sari,UX Indonesia
Daniela Busse,Meta
Bastian Pfleging,TU Bergakademie Freiberg
Margaret Burnett,Oregon State University
Kasper Hornbæk,University of Copenhagen
Bradley Rey,University of British Columbia
Lars Erik Holmquist,Northumbria University
Jaeyeon Lee,Ulsan National Institute of Science and Technology
David Lindlbauer,Carnegie Mellon University
Yomna Abdelrahmen,Bundeswehr University Munich
Anirudha Joshi,Indian Institute of Technology Bombay
Cosmin Munteanu,University of Waterloo
Tanja Döring,University of Bremen
Frank Steinicke,Universität Hamburg
Julian Rasch,LMU Munich
Oliver Haimson,University of Michigan
Shaimaa Lazem,City of Scientific Research and Technological Applications (SRTA-City)
Abdallah El Ali,Centrum Wiskunde & Informatica (CWI)
Vinoba Vinayagamoorthy,Samsung
Anke Brock,"ENAC, Université Toulouse"
Jessica Cauchard,Ben Gurion University of the Negev
Mario Alberto Moreno Rocha,Universidad Tecnológica de la Mixteca
Niels Henze,University of Regensburg
Jakob Karolus,German Research Center for Artificial Intelligence (DFKI)
Ville Mäkelä,University of Waterloo
Christian Sturm,Technische Hochschule Ingolstadt
Chat Wacharamanotham,Swansea University
Ciabhan Connely,Georgia Institute of Technology
Julia Dunbar,University of Washington
Maximiliane Windl,LMU Munich
John Wenskovitch,Pacific Northwest National Laboratory
Johannes Zagermann,University of Konstanz
Thomas Olsson,Tampere University
Dakuo Wang,Northeastern University
Heike Winschiers-Theophilus,Namibia University of Science and Technology
Lynne Baillie,Heriot-Watt University
Wilko Heuten,OFFIS – Institute for IT
Maryam Mustafa,Lahore University of Management
Tawfiq Ammari,Rutgers University School of Communication and Information
Anna Maria Feit,Saarland University
Heloisa de Souza Pereira Candello,IBM Brazil
Amon Rapp,University of Torino
Rob Comber,KTH Royal Institute of Technology
Konstantinos Koumaditis,Aarhus University
Yi Chi Liao,Aalto University
Christina Zaga,University of Twente
Carol Klyver,Foundations of Excellence
Elizabeth Churchill,Google
Christine Bauer,Utrecht University
Siobahn Day Grady,North Carolina Central University
Anouk van Kasteren,Utrecht University
Jordan Deja,University of Primorska
Cuauhtémoc Rivera Loaiza,Universidad Michoacana
Marisol Wong-Villacres,Escuela Superior Politécnica del Litoral
João Moreira,"INESC-ID: Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa"
Yoshifumi Kitamura,Tohoku University
Aaron Quigley,"University of New South Wales, Australia"
Kaori Ikematsu,Yahoo Japan Corporation
Thomas Kosch,TU Darmstadt
Katherine Isbister,University of California Santa Cruz
Takeo Igarashi,The University of Tokyo
Yuki Koyama,National Institute of Advanced Industrial Science and Technology (AIST)
Elena Márquez Segura,Universidad Carlos III de Madrid
Pernille Bjørn,University of Copenhagen
Steven Drucker,Microsoft Research
Claudine Tinsman,University of Oxford
Earl Huff,Clemson University
Danielle Wilde,University of Southern Denmark
Nova Ahmed,"North South University, Bangladesh"
Pierre Dragicevic,"Inria, France"
Haley MacLeod,Facebook
Stefan Manojlovic,TomTom
Carine Lallemand,Eindhoven University of Technology
Antti Oulasvirta,Aalto University
Pedro Lopes,University of Chicago
Sylvain Malacria,"Inria, France"
Yuta Sugiura,Keio University
Yang Li,Google Research
Wendy Mackay,"Inria, Université Paris-Saclay"
Wendy Ju,Cornell Tech
Leah Findlater,University of Washington
Edward Melcer,"University of California, Santa Cruz"
Katrin Wolf,Beuth University of Applied Sciences Berlin
Juho Kim,KAIST
Leila Takayama,"University of California, Santa Cruz"
Dan Russell,Google
Germán Leiva,Aarhus University
Emeline Brulé,University of Sussex
Jofish Kaye,Mozilla
Hideaki Kuzuoka,The University of Tokyo
Jun Kato,"National Institute of Advanced Industrial Science and Technology (AIST) & Arch Inc., Japan"
Nolwenn Maudet,University of Strasbourg
Regina Bernhaupt,"Eindhoven University of Technology, Netherlands"
Florian 'Floyd' Mueller,"Monash University, Melbourne, Australia"
David Verweij,"Open Lab, Newcastle University, Newcastle, UK"
Josh Andres,"IBM Research & Exertion Games Lab RMIT, Melbourne, Australia"
Joanna McGrenere,"University of British Columbia, Vancouver, Canada"
Andy Cockburn,"University of Canterbury, Christchurch, New Zealand"
Ignacio (Nacho) Avellino,"University of Maryland Baltimore County, MD, USA"
Alix Goguey,"Grenoble Alpes University, Grenoble, France"
Pernille Bjorn,"University of Copenhagen, Copenhagen, Denmark"
Shengdong Zhao,"National University of Singapore, Singapore"
Briane Paul Samson,"Future University Hakodate, Japan"
Rafal Kocielnik,"University of Washington, Seattle, USA"
Ann Light,"University of Sussex, UK"
Katta Spiel,"KU Leuven, Belgium"
Danielle Wilde,"University of Southern Denmark, Denmark"
Maja Vukovic,"IBM, Yorktown Heights, USA"
Stefan Manojlovic,"Philips, Amsterdam, Netherlands"
Daniela Busse,"eBay Inc., CA, USA"
Rajan Vaish,"Snap Research, Santa Monica, USA"
Ian Oakley,"Ulsan National Institute of Science and Technology, South Korea"
Sylvain Malacria,"Inria, France"
Walter Lasecki,"University of Michigan, Ann Arbor, USA"
Koji Yatani,"University of Tokyo, Japan"
Leah Findlater,"University of Washington, Seattle, USA"
Duncan Brumby,"University College London, UK"
Madeline Balaam,"KTH Royal Institute of Technology, Stockholm, Sweden"
Neha Kumar,"Georgia Institute of Technology, Atlanta, USA"
Stacey Kuznetsov,"Arizona State University, Tempe, USA"
Jeni Paay,"Swinburne University of Technology, Melbourne, Australia"
David Flatla,"University of Guelph, Canada"
Zhanna Sarsenbayeva,"University of Melbourne, Australia"
Carla Griggio,"The University of Tokyo, Japan"
Jorge Goncalves,"University of Melbourne, Australia"
Jonna Häkkilä,"University of Lapland, Rovaniemi, Finland"
Katrin Wolf,"University of Hamburg, Germany"
Bastian Pfleging,"Eindhoven University of Technology, Netherlands"
Rob Comber,"KTH Royal Institute of Technology, Sweden"
Mike Hazas,"Lancaster University, Lancashire, UK"
Alexander Eiselmayer,"University of Zurich, Switzerland"
Wanyu 'Abby' Liu,"IRCAM Centre Pompidou, Paris, France"
Jessica Colnago,"Carnegie Mellon University, USA"
Nicole Sultanum,"University of Toronto, Canada"
Duncan Brumby,"University College London, UK"
Tovi Grossman,"University of Toronto, Canada"
Parmit Chilana,"Simon Fraser University, Canada"
Niels van Berkel,"Aalborg University, Denmark"
Katarzyna (Kathy) Stawarz,"University of Bristol, UK"
Tom Horak,"Technische Universität Dresden, Germany"
Sven Mayer,"Carnegie Mellon University, PA, USA"
Michael Stewart,"James Madison University, VA, USA"
Sandy Gould,"University of Birmingham, United Kingdom"
Rakesh Patibanda,"Exertion Games Lab, RMIT University, Australia"
Lila Bozgeyikli,"University of Arizona, USA"
Jeffrey Bardzell,"Indiana University, USA"
Scott Robertson,"University of Hawai'i, Honolulu, Hawai'i, USA"
Rick Kazman,"University of Hawai'i, Honolulu, Hawai'i, USA"
Kyle Rector,"University of Iowa, USA"
Shari Trewin,"IBM Research, Yorktown, USA"
Juho Kim,"Korea Advanced Institute of Science and Technology, South Korea"
Cristina Zaga,"University of Twente, Netherlands"
Simone Kriglstein,"AIT Austrian Institute of Technology, Austria"
Rina Wehbe,"University of Waterloo, Canada"
Maria Wolters,"Alan Turing Institute, London, UK"
Robin Brewer,"University of Michigan, Ann Arbor, USA"
Jed Brubaker,"University of Colorado Boulder, USA"
Roman Rädle,"Facebook, USA"
David Lindlbauer,"ETH Zurich, Switzerland"
Kashyap Todi,"Aalto University, Finland"
Rohit Ashok Khot,"RMIT University, Australia"
Elisa Mekler,"Aalto University, Finland"
Dong-Bach Vo,"University of Glasgow, UK"
Bill Hamilton,"New Mexico State University, USA"
Renee Noortman,"Eindhoven University of Technology, Netherlands"
David Verweij,"Newcastle University, UK"
Adrian Friday,"Lancaster University, UK"
Christian Remy,"Aarhus University, Denmark"
Mike Hazas,"Lancaster University, Lancashire, UK"
Samuel Mann,"Otago Polytechnic, New Zealand"
Elisabeth Churchill,"Google, Mountain View, USA"
Masa Inakage,"Keio University, Japan"
Max van Kleek,"University of Oxford, UK"
Suranga Nanayakkara,"University of Auckland, New Zealand"
Anusha Withana,"The University of Sydney, Australia"
Mingrui Ray Zhang,"University of Washington, USA"
Steven Rick,"University of California San Diego, USA"
Philippe Palanque,"Université Toulouse III Paul Sabatier, France"
Anna Cox,"University College London, UK"
Vassilis Kostakos,"University of Melbourne, Australia"
Katarzyna Stawarz,"Bristol University, UK"
Niels van Berkel,"University of Melbourne, Australia"
Anind Dey,"University of Washington, US"
Shengdong Zhao,"National University of Singapore, Singapore"
Briane Paul V. Samson,"Future University Hakodate, Japan"
Sonali R. Mishra,"University of Washington, US"
Jorge Goncalves,"University of Melbourne, Australia"
Sandy Gould,"University of Birmingham, UK"
Xinru Page,"Bentley University, US"
Graham Wilson,"University of Strathclyde, UK"
Frank Vetere,"University of Melbourne, Australia"
Katrin Wolf,"Hamburg University of Applied Sciences, Germany"
Rob Comber,"RISE Research Institutes of Sweden, Sweden"
Lindsay Reynolds,"Facebook, US"
Katie A. Siek,"Indiana University, US"
Nazanin Andalibi,"University of Michigan, US"
Jessica Colnago,"Carnegie Mellon University, US"
Haley MacLeod,"Indiana University, US"
Tovi Grossman,"Autodesk Research, Canada"
Frederik Brudy,"University College London, UK"
Tom Horak,"TU Dresden, Germany"
Danula Hettiachchi,"University of Melbourne, Australia"
Duncan Brumby,"University College London, UK"
Cosmin Munteanu,"University of Toronto Mississauga, Canada"
Sharon Oviatt,"Monash University, Australia"
Marilyn Lennon,"University of Strathclyde, UK"
Martin Halvey,"University of Strathclyde, UK"
Lynne Hall,"University of Sunderland, UK"
Jennefer Hart,"BBC, UK"
Cayley MacArthur,"University of Waterloo, Canada"
Cale Passmore,"University of Saskatchewan, Canada"
Sunyoung Kim,"Rutgers University, US"
Edith Law,"University of Waterloo, Canada"
Louise Barkhuus,"IT University of Copenhagen, Denmark"
David Flatla,"University of Guelph, Canada"
Anicia Peters,"Namibia University of Science and Technology, Namibia"
Anke Brock,"Ecole Nationale de l’Aviation Civie, France"
Nitesh Goyal,"Google, US"
Gopinaath Kannabiran,"Aarhus University, Denmark"
Sue Fussell,"Cornell University, US"
Hao-Chuan Wang,"University of California Davis, US"
Naomi Yamashita,"Nippon Telegraph and Telephone Corporation, Japan"
Daria Loi,"Intel Labs, US"
Jofish Kaye,"Mozilla, US"
Oliver Bates,"Lancaster University, UK"
Adrian Friday,"Lancaster University, UK"
Mike Hazas,"Lancaster University, UK"
Christian Remy,"Aarhus University, Denmark"
Maria Wolters,"University of Edinburgh, UK"
Dakuo Wang,"IBM Research, US"
Fatma Meawad,"University of Glasgow, Singapore"
Rina R. Wehbe,"University of Waterloo, Canada"
Cristina Zaga,"University of Twente, The Netherlands"
Carman Neustaedter,"Simon Fraser University, Canada"
Tony Tang,"University of Calgary, Canada"
William (Bill) Hamilton,"New Mexico State University, US"
Euan Freeman,"University of Glasgow, UK"
Irina Shklovski,"IT University of Copenhagen, Denmark"
Mark Handel,"Facebook, US"
Elizabeth Churchill,"Google, US"
Matt Jones,"Swansea University, UK"
David McGookin,"Aalto University, Finland"
Joanna Bergström-Lehtovirta,"University of Copenhagen, Denmark"
Anusha Withana,"Saarland University, Germany"
Elizabeth Buie,"Northumbria University, UK"
Lisa Tweedie,"TIBCO, UK"
Alan Dix,"Swansea University, UK"
David Lindlbauer,"ETH Zurich, Switzerland"
Roman Rädle,"Aarhus University, Denmark"
Carol Klyver,Foundations of Excellence
Roxane Rose,Executivevents
Taylor Vick,Executivevents
Lynne Baillie,Heriot Watt University
Florian Alt,Bundeswehr University Munich
Keith Vertanen,Michigan Technological University
Magy Seif El-Nasr,Northeastern University
Teresa Hirzle,Ulm University
Theodoros Georgiou,Heriot-Watt University
Erica Kleinman,University of California Santa Cruz
Alexander Meschtscherjakov,University of Salzburg
Andreas Riener,TH Ingolstadt
Aneesha Singh,University College London
Anirudha Joshi,IIT Bombay
Ahmed Sabbir Arif,"University of California, Merced"
Bastian Pfleging,Eindhoven University of Technology
Benjamin Tag,University of Melbourne
Blase Ur,University of Chicago
Briane Paul Samson,Future University Hakodate & De La Salle University
Benjamin Hanrahan,Pennsylvania State University
Clara Caldeira,UC Irvine
Claudio Pinhanez,IBM Research
Daniel Buschek,"University of Bayreuth, Germany"
Daniel Rough,University College Dublin
Rahul Divekar,RPI
Tanja Döring,University of Bremen
Eduardo Velloso,University of Melbourne
Elin Carstensdottir,University of California at Santa Cruz
Elisa Mekeler,Aalto University
Enrico Rukzio,University of Ulm
Elizabeth Veinott,Michigan Technological University
Frank Bentley,Yahoo
Giovanni Troiano,Northeastern University
Hans-Christian Jetter,"University of Applied Sciences Upper Austria, Hagenberg Campus"
Henning Pohl,University of Copenhagen
Tobias Höllerer,University of California Santa Barbara
Jin Huang,"A M As Institute of Software, Chinese Academy of Sciences (ISCAS)"
Jamie Mahoney,Northumbria University
Jan Gugenheimer,Institut Polytechnique de Paris
Jasmin Niess,University of Bremen
Ken Pfeuffer,Bundeswehr University Munich
Edward Lank,University of Waterloo
Effie Law,Leicester University
Markus Funk,Cerence Inc.
Mark Billinghurst,University of South Australia
Mark Dunlop,University of Strathclyde
Mathew Aylett,CEREProc
Erin Cherry,Northrop Grumman Mission Systems
Mirjana Prpa,SIAT SFU
Andres Lucero,Aalto University
Pawel Wozniak,Utrecht University
Peter Frohlich,AIT
Qian Yang,Carnegie Mellon University
Ronald Schroeter,Queensland University of Technology
Stephen Intille,Northeastern University
Salvatore Andolina,University of Palermo
Sayan Sarcar,University of Tsukuba
Stefan Schneegass,University of Duisburg-Essen
Stephen Uzor,Cambridge University
Sean Rintel,Microsoft Research
Thomas Kosch,TU Darmstadt
Tilman Dingler,University of Melbourne
Joe Tulio,Google
Uwe Grünefeld,University of Duisburg-Essen
Ville Mäkelä,LMU Munich
Brian Bailey,University of Illinois
Nicola Dell,Cornell University
Rama Adithya Varanasi,Cornell University
Afsaneh Doryab,University of Virginia
Aditya Vashistha,Cornell
Adrian Clear,Northumbria University
Ali Agha Raza,LUMS Pakistan
André Calero Valdez,RWTH Aachen University
Bran Knowles,Lancaster University
Robert Xiao,University of British Columbia
Carrie Demmans Epp,University of Alberta
Kurt Luther,Virginia Tech
Margot Brereton,Queensland University of Technology
Mary Lou Maher,UNC Charlotte
Maletsabisa (Tsabi) Molapo,IBM Research Africa
Maggie Jack,Cornell / UC Irvine
Maria Menendez Blanco,The Free University of Bozen-Bolzano
Matthew Mauriello,Stanford
Andrii Matviienko,Technical University Darmstadt
Priyank Chandra,University of Toronto
Ranjitha Kumar,University of Illinois
Rita Orji,Dalhousie University
Scarlett Miller,Penn State
Sunyoung Kim,Rutgers University
Shamsi Iqbal,MSR
Sowmya Somanath,University of Victoria
Vineet Pandey,Harvard
Betsy DiSalvo,Georgia Tech
Erin Walker,University of Pittsburgh
Ishrat Ahmed,University of Pittsburgh
Ahmed Kharrufa,Newcastle University
Alexis Hinker,University of Washington
Alice Oh,KAIST - School of Computing
Anthony Pellicone,"University of Maryland, College Park"
Briana Morrison,University of Nebraska Omaha
Chris Frauenberger,Aarhus University
Carolyn Rose,Carnegie Mellon University
Edith Law,University of Waterloo
Elena Glassman,Harvard University
Elisa Rubegni,Lancaster University
Eleanor O'Rourke,Northwestern University
Florian Block,University of York
Gahgene Gweon,Seoul National University
Colin Gray,Purdue
Gabreila Richard,Pennsylvania State University
Erik Harpstead,Carnegie Mellon University
Iulian Radu,Harvard University
Derek Lomas,Delft
Jason Yip,University of Washington
Jessica Roberts,Georgia Tech
Juho Kim,KAIST
Kayla Desportes,New York University
Katie Davis,University of Washington
Kristy Boyer,University of Florida
Rene Kizilcec,Cornell University
Lana Yarosh,University of Minnesota
Lisa Anthony,University of Florida
Matthew Easterday,Northwestern University
Min Chi,North Carolina State
Mike Horn,Northwestern
Michelle Lui,University of Toronto
Michael Lee,New Jersey Institute of Technology
Monica Landoni,Università Della Svizzera Italiana
Oren Zuckerman,Interdisciplinary Center Herzliya
Petr Slovak,University College London
Zach Pardos,Berkeley
Paul Denny,"University of Auckland, New Zealand"
Phillip Guo,UC San Diego
Rebecca Quintana,University of Michigan
Ricarose Roque,University of Colorado
Robb Lindgren,University of Illinois
Roberto Martinez-Maldonado,Monash University
Sayamindu Dasgupta,UNC Chapel Hill
Selen Turkay,Queensland University of Technology
Tawfiq Ammari,University of Michigan
Tammy Clegg,"University of Maryland, College Park"
Uta Hinrichs,University of Saint Andrews
Viktoria Pammer-Schindler,Graz University of Technology
Xu Wang,Carnegie Mellon University
Munmun Chaudhury,Georgia Tech
Thomas Ludwig,University of Siegen
Max Krüger,University of Siegen
Alexander Boden,Fraunhofer FIT
Casey Dugan,IBM
Clemens Nylandsted Klokmose,Aarhus University
Elizabeth Murnane,Dartmouth College
Fabiano Pinatti,University of Siegen
Haiyi Zhu,Carnegie Mellon University
Ingmar Weber,Qatar Computing Research Institute
Jed Brubaker,CU Boulder
Jacob Thebault-Spieker,Virginia Tech
Jalal Mahmud,IBM Research
Matthieu Tixier,University of Troyes
Mike Clarke,Facebook
Michael Prilla,TU Clausthal
Mor Naaman,Cornell Tech
Nicholas Diakopoulos,Northwestern University
Niels van Berkel,Aalborg University
Robert Soden,University of Colorado
Stevie Chancellor,Northwestern University
Tawfiq Ammari,University of Michigan
Thomas Olsson,Tampere University
Liam D. Turner,Cardiff University
Vivek Singh,Rutgers University
Yelena Mejova,ISI Foundation
Kathrin Gerling,KU Leuven
Pejman Mirza-Babaei,Ontario Tech University
Maria Aufheimer,KU Leuven
Z Toups,New Mexico State University
Richard Wetzel,Hochschule Luzern
Jinghui Cheng,Polytechnique Montréal
Perttu Hamalainen,Aalto University
Casper Harteveld,Northeastern University
Günter Wallner,TU Eindhoven
Loutfouz Zaman,Ontario Tech University
Simone Kriglstein,University of Vienna
Nicholas Graham,Queen's University
April Tyack,Aalto University
Alena Denisova,City University London
Jim Wallace,University of Waterloo
Jessica Hammer,Carnegie Mellon University
Elizabeth Bonsignore,University of Maryland
Katja Rogers,University of Waterloo
Annika Waern,Uppsala University
Penny Kyburz,Australian National University
Melissa Rogerson,University of Melbourne
Oğuz 'Oz' Buruk,Tampere University
Madison Klarkowski,University of Saskatchewan
Apu Kapadia,Indiana University
Emilee Rader,Michigan State University
Megan Knittel,Michigan State University
Yasemin Acar,Leibniz University Hannover
Alexander De Luca,Google Inc.
Chris Kanich,"University of Illinois, Chicago"
Eran Toch,Tel Aviv University
Florian Schaub,"University of Michigan, Ann Arbor"
Gunnar Stevens,University of Siegen
Janne Lindqvist,"Aalto, Rutgers"
Jose Such,King's College London
Katharina Krombholz,"CISPA Helmholtz Center for Information Security (Saarbrücken, Germany)"
Lujo Bauer,Carnegie Mellon University
Lynne Coventry,Northumbria University
Mainack Mondal,IIT Kharagpur
Manya Sleeper,Google Inc.
Marc Langheinrich,"University of Lugano, Università della Svizzera italiana (USI)"
Marshini Chetty,University of Chicago
Mohamed Khamis,University of Glasgow
Alena Naiakshina,Rheinische Friedrich-Wilhelms-Universität Bonn
Nora McDonald,UMBC
Kent Seamons,Brigham Young University
Shion Guha,Marquette University
Tousif Ahmed,Samsung Research
Yaxing Yao,Carnegie Mellon University
Yang Wang,University of Illinois at Urbana-Champaign
Zinaida Benenson,University of Erlangen-Nuremberg
Niklas Elmqvist,University of Maryland
Bongshin Lee,Microsoft
Tongshuang (Sherry) Wu,University of Washington
Alvitta Ottley,Washington University of St. Louis
Anastasia Bezerianos,University of Paris-Saclay
Bum Chul Kwon,IBM Research
Danielle Albers Szafir,University of Colorado Boulder
Eytan Adar,University of Michigan
Kim Marriott,Monash University
Kwan-Liu Ma,"University of California, Davis"
Leilani Battle,"University of Maryland, College Park"
Lyn Bartram,Simon Fraser University
Matthew Kay,Northwestern University
Melanie Tory,Tableau Software
Miguel Nacenta,University of Victoria
Rita Borgo,King's College London
Ron Metoyer,University of Notre Dame
Shixia Liu,Tsinghua University
Tamara Munzner,University of British Columbia
Vidya Setlur,Tableau Research
Nadia Boukhelifa,INRAE
Raimund Dachselt,Technische Universität Dresden
Jinwook Seo,Seoul National University
Jo Vermeulen,Autodesk Research
Khairi Reda,Indiana University-Purdue University Indianapolis
Xiaoru Yuan,Peking University
Adam Perer,Carnegie Mellon University
Xianghua Ding,Fudan University
Gavin Doherty,Trinity College Dublin
Kevin Doherty,Technical University of Denmark
Eun Kyoung Choe,University of Maryland
Marilyn Lennon,University of Strathclyde
Yixuan (Janice) Zhang,Georgia Institute of Technology
Xinning Gui,Penn State University
Amanda Lazar,"University of Maryland, College Park"
David Coyle,University College Dublin
Aisling O’Kane,University of Bristol
Sun Young Park,University of Michigan
Francisco Nunes,Fraunhofer Portugal AICOS
Ignacio Avellino,University of Maryland Baltimore County
Swamy Ananthanarayan,"Monash University, Melbourne"
Eric Hekler,UC San Diego
Lauren Wilcox,GeogiaTech/Google
Mohit Jain,Microsoft Research India
Ryan M. Kelly,University of Melbourne
Nervo Verdezoto,Cardiff University
Stephanie Wilson,"City University, London"
Daniel Epstein,"University of California, Irvine"
Pin Sym Foong,National University of Singapore
Xiaojuan Ma,Hong Kong University of Science and Technology
Greg Wadley,University of Melbourne
Stephen Schueller,University of California Irvine
Hao-Hua Chu,National Taiwan University
Christina Chung,Indiana University
Mayank Goel,Carnegie Mellon University
Kellie Morrissey,University of Limerick
Pedja Klasnja,University of Michigan
Elizabeth Eikey,UC San Diego
Roisin McNaney,Monash University
Sonali Mishra,University of Washington
Troels Mønsted,"Roskilde University, Roskilde, Denmark"
Lisa Vizer,University of North Carolina at Chapel Hill
Susanne Boll,University of Oldenburg
Cosmin Munteanu,University of Toronto
Christina Schneegass,Ludwig-Maximilians-Universität München
Aisling Kelliher,Virginia Tech
Amy Hurst,NYU
Aqueasha Martin-Hammond,Indiana University - Purdue University Indianapolis
Benjamin Gorman,Bournemouth University
Carolyn Pang,McGill University
Dafne Zuleima Morgado Ramirez,University College London
Danielle Bragg,Microsoft Research
Dragan Ahmetovic,University of Milan
Fabio Paterno,CNR Italy
Foad Hamidi,U of Maryland
Frank Steinicke,University of Hamburg
Helen Petrie,University of York
Jenny Waycott,U of Melbourne
João Guerreiro,Universidade de Lisboa
Josep Blat,Universitat Pompeu Fabra
Kathleen McCoy,University of Delaware
Kyle Rector,U of Iowa
Martez Mott,Microsoft Research
Michael Crabb,Univ of Dundee
Mingming Fan,Rochester Institute of Technology
Robin Brewer,U of Michigan
Shaomei Wu,Facebook
Shaun Kane,University of Colorado Boulder
Stacy Branham,U of California
Sunyoung Kim,Rutgers
Timothy Neate,King's College London
Uran Oh,Ewha Woman's University
Wilko Heuten,OFFIS Institute for IT
Yasamin Heshmat,Simon Fraser University
Kristina Andersen,TU Eindhoven
Christopher Le Dantec,Georgia Tech
Alyssa Rumsey,Georgia Tech
