Aakar Gupta,[Facebook]
Pin Sym Foong,[National University of Singapore]
Pranjal Jain,"[theUXWhale, India]"
Priyank Chandra,[University of Toronto]
Qian Yang,[Carnegie Mellon University]
Rachel Clarke,[Northumbria University]
Radu-Daniel Vatavu,"[University Stefan cel Mare of Suceava, Romania]"
Raf Ramakers,[Hasselt University]
Rafal Kocielnik,"[University of Washington, Seattle, USA]"
Rahul Divekar,[RPI]
Raimund Dachselt,[Technische Universität Dresden]
Rajan Vaish,"[Snap Research, Santa Monica, USA]"
Rakesh Patibanda,"[Exertion Games Lab, RMIT University, Australia]"
Rama Adithya Varanasi,[Cornell University]
Ranjitha Kumar,[University of Illinois]
Raphael Wimmer,[University of Regensburg]
Rebecca Fiebrink,"[Creative Computing Institute, University of the Arts London]"
Rebecca Quintana,[University of Michigan]
Reem Talhouk,[Newcastle]
Regina Bernhaupt,"[Eindhoven University of Technology, Netherlands]"
Rene Kizilcec,[Cornell University]
Renee Noortman,"[Eindhoven University of Technology, Netherlands]"
Ricarose Roque,[University of Colorado]
Richard Wetzel,[Hochschule Luzern]
Rick Kazman,"[University of Hawai'i, Honolulu, Hawai'i, USA]"
Rina R. Wehbe,"[University of Waterloo, Canada]"
Rina Wehbe,"[University of Waterloo, University of Waterloo, Canada]"
Rita Borgo,[King's College London]
Rita Orji,[Dalhousie University]
Rob Comber,"[KTH, KTH Royal Institute of Technology, KTH Royal Institute of Technology, Sweden, RISE Research Institutes of Sweden, Sweden, Royal Institute of Technology Stockholm]"
Robb Lindgren,[University of Illinois]
Robert Soden,[University of Colorado]
Robert Xiao,[University of British Columbia]
Roberto Martinez-Maldonado,[Monash University]
Robin Brewer,"[University of Michigan, Ann Arbor, USA, U of Michigan]"
Roderick Murray-Smith,[University of Glasgow]
Rohit Ashok Khot,"[RMIT University, Australia, RMIT University]"
Roisin McNaney,[Monash University]
Roman Rädle,"[Facebook, USA, Aarhus University, Denmark]"
Ron Metoyer,[University of Notre Dame]
Ronald Schroeter,[Queensland University of Technology]
Rong-Hao Liang,[Eindhoven University of Technology]
Roxane Rose,[Executivevents]
Rua Williams,[Purdue University]
Ruofei Du,[Google]
Ruta Desai,[Facebook]
Ryan M. Kelly,[University of Melbourne]
Salvatore Andolina,[University of Palermo]
Samantha Krening,[Ohio State University]
Sameer Patil,[University of Utah]
Samuel Mann,"[Otago Polytechnic, New Zealand]"
Sandy Gould,"[University of Birmingham, United Kingdom, University of Birmingham, UK]"
Sanorita Dey,"[University of Maryland, USA]"
Sara Nabil,[Queen's University]
Sarah Fox,[CMU]
Sauvik Das,"[Georgia Tech, USA]"
Sayamindu Dasgupta,[UNC Chapel Hill]
Sayan Sarcar,[University of Tsukuba]
Scarlett Miller,[Penn State]
Scott Bateman,[University of New Brunswick]
Scott Robertson,"[University of Hawai'i, Honolulu, Hawai'i, USA]"
Sean Follmer,[Stanford University]
Sean Rintel,[Microsoft Research]
Sebastian Boring,[Aalborg University Copenhagen]
Selen Turkay,[Queensland University of Technology]
Shagun Jhaver,"[University of Washington, USA]"
Shaimaa Lazem,"[City for Scientific Research and Technological Applications, City of Scientific Research and Technological Applications (SRTA-City)]"
Shamsi Iqbal,[MSR]
Shaomei Wu,[Facebook]
Shaowen Bardzell,[Pennsylvania State University]
Shari Trewin,"[IBM Research, Yorktown, USA]"
Sharon Oviatt,"[Monash University, Australia]"
Shaun Kane,[University of Colorado Boulder]
Shaun Lawson,[Northumbria University]
Sheena Erete,[DePaul University]
Shengdong Zhao,"[National University of Singapore, Singapore, National University of Singapore]"
Shercole K.,[VIA LINK]
Shion Guha,[Marquette University]
Shixia Liu,[Tsinghua University]
Shumin Zhai,"[Google, USA]"
Silvia Lindtner,[U of Michigan]
Simon Perrault,"[Singapore University of Technology and Design, Singapore University of Technology and Design, Singapore]"
Simon Robinson,[Swansea University]
Simon Voelker,[RWTH Aachen University]
Simone Barbosa,[PUC-Rio]
Simone Kriglstein,"[University of Vienna & AIT Austrian Institute of Technology GmbH, AIT Austrian Institute of Technology, Austria, University of Vienna]"
Simone Stumpf,[City University of London]
Siobahn Day Grady,[North Carolina Central University]
Sonali Mishra,[University of Washington]
Sonali R. Mishra,"[University of Washington, US]"
Sowmya Somanath,[University of Victoria]
Stacey Kuznetsov,"[Arizona State University, Tempe, USA, Arizona]"
Stacy Branham,[U of California]
Stanley Chang,"[National Chiao Tung University, Taiwan]"
Stefan Manojlovic,"[TomTom, Philips, Amsterdam, Netherlands]"
Stefan Schneegass,[University of Duisburg-Essen]
Stefanie Mueller,[Massachusetts Institute of Technology]
Stephanie Jordan,[Michigan State University]
Stephanie Wilson,"[City University, London]"
Stephen Intille,[Northeastern University]
Stephen Schueller,[University of California Irvine]
Stephen Uzor,[Cambridge University]
Steve Feiner,[Columbia University]
Steve Harrison,[Virginia Tech]
Steve Jackson,[Cornell]
Steven Dow,[UCSD]
Steven Drucker,[Microsoft Research]
Steven Houben,[Lancaster University]
Steven Rick,"[University of California San Diego, USA]"
Stevie Chancellor,[Northwestern University]
Stéphane Huot,[Inria]
Sucheta Ghoshal,"[Georgia Tech, USA]"
Sue Fussell,"[Cornell University, US]"
Sun Young Park,[University of Michigan]
Sunyoung Kim,"[Rutgers University, US, Rutgers University, Rutgers]"
Suranga Nanayakkara,"[University of Auckland, New Zealand]"
Susan Dray,[Dray & Associates]
Susan Fussell,"[Cornell University, USA]"
Susanne Boll,[University of Oldenburg]
Sven Mayer,"[LMU Munich, Carnegie Mellon University, PA, USA, Carnegie Mellon University, USA]"
Swamy Ananthanarayan,"[Monash University, Melbourne]"
Syed Ishtiaque Ahmed,[U of Toronto]
Sylvain Malacria,"[Inria, France, Inria]"
Szu-Yu (Cyn) Liu,[Indiana University]
Takeo Igarashi,[The University of Tokyo]
Takuji Narumi,[University of Tokyo]
Tamara Munzner,[University of British Columbia]
Tammy Clegg,"[University of Maryland, College Park]"
Tanja Döring,[University of Bremen]
Tawfiq Ammari,"[Rutgers University School of Communication and Information, University of Michigan]"
Taylor Vick,[Executivevents]
Teresa Almeida,[ITU]
Teresa Hirzle,[Ulm University]
Tesh Goyal,"[Google Research, Google, USA]"
Tessy Cerrantto Pargman,[Stockholm University]
Theodoros Georgiou,[Heriot-Watt University]
Thomas Kosch,"[TU Darmstadt, Utrecht University]"
Thomas Ludwig,[University of Siegen]
Thomas Olsson,[Tampere University]
Thomas Pietrzak,[University of Lille]
Thu Marianski,[Carl von Ossietzky University of Oldenburg]
Tilman Dingler,[University of Melbourne]
Timothy Neate,[King's College London]
Tobias Höllerer,[University of California Santa Barbara]
Tom Horak,"[Technische Universität Dresden, Germany, TU Dresden, Germany]"
Tom Jenkins,[ITU]
Tommaso Colombino,"[Naver Labs, France]"
Tone Bratteteig,[Unknown]
Tongshuang (Sherry) Wu,[University of Washington]
Toni-Jan Keith Monserrat,[University of the Philippines Los Banos]
Tonja Machulla,"[Ludwig Maximilian University Munich, Germany]"
Tony Tang,"[University of Calgary, Canada]"
Tousif Ahmed,[Samsung Research]
Tovi Grossman,"[University of Toronto, Canada, Autodesk Research, Canada, University of Toronto]"
Troels Mønsted,"[Roskilde University, Roskilde, Denmark]"
Troy Nachtigal,"[HvA, Amsterdam]"
Uichin Lee,"[Korea Advanced Institute of Science and Technology, Korea]"
Uran Oh,[Ewha Woman's University]
Uta Hinrichs,[University of Saint Andrews]
Uwe Grünefeld,[University of Duisburg-Essen]
Valentina Shin,[Adobe Research]
Valkyrie Savage,[Tactual Labs]
Vanessa Evers,"[Nanyang Technological University, Singapore]"
Vanessa Peña-Araya,[Inria]
Vasiliki Tsaknaki,[IT University of Copenhagen (ITU)]
Vasilis Vlachokyriakos,[University of Newcastle]
Vassilis Kostakos,"[University of Melbourne, Australia]"
Venkatesh Potluri,[University of Washington]
Vera Liao,[IBM]
Verena Fuchsberger,[University of Salzburg]
Vicky McArthur,[Carleton University]
Victor Kaptelinin,[Umea University]
Vidya Setlur,[Tableau Research]
Viktoria Pammer-Schindler,[Graz University of Technology]
Ville Mäkelä,"[University of Waterloo, LMU Munich]"
Vineet Pandey,[Harvard]
Vinoba Vinayagamoorthy,"[BBC, Samsung]"
Vivek Singh,[Rutgers University]
Volker Wulf,[U of Siegen]
Walter Lasecki,"[University of Michigan, Ann Arbor, USA]"
Wanyu 'Abby' Liu,"[IRCAM Centre Pompidou, Paris, France]"
Wendy Ju,[Cornell Tech]
Wendy Mackay,"[Inria, Université Paris-Saclay]"
Wilko Heuten,"[OFFIS – Institute for IT, OFFIS Institute for IT]"
Will Odom,[SFU]
William (Bill) Hamilton,"[New Mexico State University, US]"
Xiang ‘Anthony’ Chen,[UCLA]
Xianghua Ding,[Fudan University]
Xiaojuan Ma,[Hong Kong University of Science and Technology]
Xiaojun Bi,[Stony Brook University]
Xiaoru Yuan,[Peking University]
Xinning Gui,[Penn State University]
Xinru Page,"[Bentley University, US]"
Xu Wang,[Carnegie Mellon University]
Yaliang Chuang,[TU Eindhoven]
Yang Li,[Google Research]
Yang Wang,[University of Illinois at Urbana-Champaign]
Yasamin Heshmat,[Simon Fraser University]
Yasemin Acar,[Leibniz University Hannover]
Yasuyuki Sumi,"[Future University Hakodate, Japan]"
Yaxing Yao,[Carnegie Mellon University]
Yea-Seul Kim,[University of Wisconsin-Madison]
Yelena Mejova,[ISI Foundation]
Yi Chi Liao,[Aalto University]
Yi-Chi Liao,[Aalto University]
Yixuan (Janice) Zhang,[Georgia Institute of Technology]
Yomna Abdelrahmen,[Bundeswehr University Munich]
Yoshifumi Kitamura,[Tohoku University]
Yubo Kou,"[Pennsylvania State University, USA]"
Yue Jiang,[Aalto University]
Yuhang Zhao,[Cornell Tech]
Yuki Koyama,[National Institute of Advanced Industrial Science and Technology (AIST)]
Yun Huang,"[University of Illinois at Urbana-Champaign, USA]"
Yuta Sugiura,[Keio University]
Yvette Wohn,"[New Jersey Institute of Technology, USA]"
Z Toups,[New Mexico State University]
Zach Pardos,[Berkeley]
Zainab AlMeraj,[Kuwait University]
Zhanna Sarsenbayeva,"[University of Melbourne, Australia]"
Zhongyi Zhou,[University of Tokyo]
Zinaida Benenson,[University of Erlangen-Nuremberg]
